symbol,isin,company,industry
360ONE,INE466L01038,360 ONE WAM Ltd.,Financial Services
3MINDIA,INE470A01017,3M India Ltd.,Diversified
AADHARHFC,INE883F01010,Aadhar Housing Finance Ltd.,Financial Services
AARTIIND,INE769A01020,Aarti Industries Ltd.,Chemicals
AAVAS,INE216P01012,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA,INE358A01014,Abbott India Ltd.,Healthcare
ABCAPITAL,INE674K01013,Aditya Birla Capital Ltd.,Financial Services
ABDL,INE552Z01027,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL,INE14LE01019,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL,INE055A01016,Aditya Birla Real Estate Ltd.,Realty
ABSLAMC,INE404A01024,Aditya Birla Sun Life AMC Ltd.,Financial Services
ACC,INE012A01025,ACC Ltd.,Construction Materials
ACE,INE731H01025,Action Construction Equipment Ltd.,Capital Goods
ACMESOLAR,INE622W01025,ACME Solar Holdings Ltd.,Power
ACUTAAS,INE00FF01025,Acutaas Chemicals Ltd.,Healthcare
AEGISLOG,INE208C01025,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK,INE0INX01018,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AFCONS,INE101I01011,Afcons Infrastructure Ltd.,Construction
AFFLE,INE00WC01027,Affle 3i Ltd.,Information Technology
AIAENG,INE212H01026,AIA Engineering Ltd.,Capital Goods
AIIL,INE206F01022,Authum Investment & Infrastructure Ltd.,Financial Services
AJANTPHARM,INE031B01049,Ajanta Pharmaceuticals Ltd.,Healthcare
ALKEM,INE540L01014,Alkem Laboratories Ltd.,Healthcare
AMBER,INE371P01015,Amber Enterprises India Ltd.,Consumer Durables
ANANDRATHI,INE463V01026,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ,INE242C01024,Anant Raj Ltd.,Realty
ANGELONE,INE732I01021,Angel One Ltd.,Financial Services
ANTHEM,INE0CZ201020,Anthem Biosciences Ltd.,Healthcare
